Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Acc_3,F1_score_3,Loss
MTFN,"(80.09, 1.72)","(80.34, 1.54)","(55.31, 3.01)","(55.05, 0.86)","(70.46, 1.21)","(66.48, 2.57)","(254.05, 2.96)"
MFN,"(79.04, 0.47)","(78.88, 0.58)","(57.37, 1.29)","(54.58, 0.4)","(68.1, 0.99)","(63.6, 2.52)","(80.77, 2.54)"
TFN,"(73.92, 2.43)","(74.64, 2.13)","(50.88, 3.08)","(52.14, 1.22)","(65.95, 1.46)","(61.76, 1.31)","(84.04, 1.5)"
mlf_dnn,"(80.35, 1.18)","(80.37, 1.09)","(57.37, 1.55)","(55.27, 0.59)","(69.89, 1.04)","(65.91, 2.3)","(275.88, 6.8)"
mtfn,"(80.09, 1.72)","(80.34, 1.54)","(55.31, 3.01)","(55.05, 0.86)","(70.46, 1.21)","(66.48, 2.57)","(254.05, 2.96)"
tfn,"(73.92, 2.43)","(74.64, 2.13)","(50.88, 3.08)","(52.14, 1.22)","(65.95, 1.46)","(61.76, 1.31)","(84.04, 1.5)"
tfn,"(73.92, 2.43)","(74.64, 2.13)","(50.88, 3.08)","(52.14, 1.22)","(65.95, 1.46)","(61.76, 1.31)","(84.04, 1.5)"
tfn,"(73.92, 2.43)","(74.64, 2.13)","(50.88, 3.08)","(52.14, 1.22)","(65.95, 1.46)","(61.76, 1.31)","(84.04, 1.5)"
tfn,"(74.35, 3.29)","(74.98, 2.94)","(52.11, 3.83)","(52.55, 1.86)","(66.39, 2.5)","(62.28, 2.97)","(83.9, 1.89)"
test,"(74.35, 3.29)","(74.98, 2.94)","(52.11, 3.83)","(52.55, 1.86)","(66.39, 2.5)","(62.28, 2.97)","(83.9, 1.89)"
test,"(78.03, 1.04)","(78.29, 0.81)","(55.0, 2.32)","(54.23, 0.43)","(68.14, 0.89)","(63.55, 1.3)","(77.74, 0.65)"
test,"(67.7, 1.19)","(58.92, 1.56)","(61.7, 1.44)","(49.52, 0.23)","(54.66, 0.29)","(42.09, 2.25)","(95.78, 0.63)"
test,"(74.36, 0.47)","(73.22, 0.54)","(55.62, 0.84)","(51.14, 0.29)","(61.36, 0.51)","(55.31, 0.7)","(87.59, 0.21)"
ef_lstm,"(69.37, 0.0)","(56.82, 0.0)","(63.92, 0.0)","(49.85, 0.0)","(54.27, 0.0)","(38.18, 0.0)","(97.95, 0.61)"
ef_lstm,"(69.37, 0.0)","(56.82, 0.0)","(63.92, 0.0)","(49.85, 0.0)","(54.27, 0.0)","(38.18, 0.0)","(98.1, 0.63)"
lf_dnn,"(79.39, 1.78)","(79.59, 1.68)","(56.44, 1.16)","(55.09, 0.4)","(69.67, 0.99)","(65.47, 2.21)","(78.95, 1.86)"
graph_mfn,"(77.64, 1.13)","(77.93, 0.87)","(55.47, 1.55)","(54.36, 0.45)","(68.88, 0.72)","(65.32, 2.17)","(77.92, 1.44)"
lmf,"(77.2, 1.28)","(76.12, 1.88)","(58.25, 3.82)","(53.68, 0.45)","(65.99, 1.86)","(60.61, 3.62)","(85.63, 2.94)"
tfn,"(74.35, 3.29)","(74.98, 2.94)","(52.11, 3.83)","(52.55, 1.86)","(66.39, 2.5)","(62.28, 2.97)","(83.9, 1.89)"
mfn,"(79.04, 0.47)","(78.88, 0.58)","(57.37, 1.29)","(54.58, 0.4)","(68.1, 0.99)","(63.6, 2.52)","(80.77, 2.54)"
mult,"(78.82, 1.78)","(78.94, 1.38)","(56.18, 2.95)","(54.64, 0.89)","(68.58, 1.78)","(65.7, 2.04)","(77.43, 2.32)"
misa,"(76.02, 1.86)","(76.1, 1.86)","(53.76, 3.82)","(52.97, 0.78)","(66.22, 1.49)","(61.0, 2.49)","(82.63, 3.25)"
tfn,"(74.35, 3.29)","(74.98, 2.94)","(52.11, 3.83)","(52.55, 1.86)","(66.39, 2.5)","(62.28, 2.97)","(83.9, 1.89)"
tfn,"(74.35, 3.29)","(74.98, 2.94)","(77.63, 2.87)","(77.67, 2.62)","(66.39, 2.5)","(62.28, 2.97)","(83.9, 1.89)"
tfn,"(72.56, 1.67)","(72.16, 1.49)","(77.63, 2.87)","(77.67, 2.62)","(66.39, 2.5)","(62.28, 2.97)","(83.9, 1.89)"
tfn,"(72.56, 1.67)","(72.16, 1.49)","(77.63, 2.87)","(77.67, 2.62)","(66.39, 2.5)","(62.28, 2.97)","(83.9, 1.89)"
mlf_dnn,"(80.35, 1.18)","(80.37, 1.09)","(82.06, 1.0)","(81.73, 0.93)","(69.89, 1.04)","(65.91, 2.3)","(275.88, 6.8)"
misa,"(76.02, 2.14)","(76.14, 2.13)","(77.99, 1.71)","(77.62, 2.42)","(66.43, 1.65)","(61.26, 2.61)","(82.68, 3.17)"
ef_lstm,"(69.37, 0.0)","(56.82, 0.0)","(63.92, 0.0)","(49.85, 0.0)","(54.27, 0.0)","(38.18, 0.0)","(97.94, 0.61)"
lf_dnn,"(79.39, 1.78)","(79.59, 1.68)","(81.91, 0.96)","(81.69, 1.08)","(69.67, 0.99)","(65.47, 2.21)","(78.95, 1.86)"
rcm,"(80.35, 1.18)","(80.37, 1.09)","(82.06, 1.0)","(81.73, 0.93)","(69.89, 1.04)","(65.91, 2.3)","(275.88, 6.8)"
mtfn,"(80.09, 1.72)","(80.34, 1.54)","(82.21, 1.53)","(82.1, 1.67)","(70.46, 1.21)","(66.48, 2.57)","(254.05, 2.96)"
mult,"(78.82, 1.78)","(78.94, 1.38)","(80.98, 1.27)","(80.69, 1.13)","(68.58, 1.78)","(65.7, 2.04)","(77.43, 2.32)"
mult,"(79.21, 1.02)","(79.36, 0.88)","(81.54, 0.66)","(81.28, 0.58)","(69.36, 0.66)","(66.02, 1.73)","(77.66, 1.17)"
rcm,"(73.65, 2.82)","(74.38, 2.53)","(77.63, 2.33)","(77.71, 2.09)","(64.9, 1.56)","(65.02, 0.88)","(67.84, 3.16)"
rcm,"(77.02, 4.1)","(78.15, 3.73)","(85.71, 2.48)","(85.77, 2.38)","(73.43, 1.57)","(72.75, 1.6)","(67.84, 3.16)"
rcm,"(78.34, 3.2)","(79.34, 2.83)","(86.38, 1.33)","(86.42, 1.28)","(74.44, 1.02)","(73.89, 0.92)","(67.01, 2.38)"
rcm,"(81.57, 1.71)","(82.23, 1.49)","(87.8, 0.83)","(87.72, 0.8)","(73.39, 0.89)","(72.82, 1.36)","(66.53, 4.31)"
rcm,"(82.36, 2.05)","(82.99, 1.74)","(88.14, 1.24)","(88.1, 1.17)","(73.61, 2.06)","(72.85, 2.78)","(67.36, 4.19)"
rcm,"(81.31, 1.92)","(82.03, 1.68)","(88.19, 0.55)","(88.13, 0.58)","(74.36, 1.29)","(74.29, 1.33)","(64.55, 3.39)"
rcm,"(72.69, 9.77)","(73.62, 9.42)","(81.02, 6.77)","(81.03, 6.57)","(67.53, 5.23)","(65.8, 4.72)","(0.0, 0.0)"
rcm,"(79.91, 2.8)","(80.76, 2.45)","(86.5, 1.48)","(86.51, 1.33)","(72.78, 0.63)","(71.49, 0.26)","(0.0, 0.0)"
rcm,"(78.73, 2.43)","(79.6, 2.02)","(85.2, 1.14)","(85.18, 0.95)","(71.6, 0.93)","(70.19, 1.38)","(0.0, 0.0)"
rcm,"(78.73, 2.43)","(79.6, 2.02)","(85.2, 1.14)","(85.18, 0.95)","(71.6, 0.93)","(70.19, 1.38)","(0.0, 0.0)"
rcm,"(81.31, 1.92)","(82.03, 1.68)","(88.19, 0.55)","(88.13, 0.58)","(74.36, 1.29)","(74.29, 1.33)","(64.55, 3.39)"
rcm,"(80.26, 2.96)","(81.14, 2.6)","(87.4, 1.05)","(87.45, 0.94)","(73.52, 1.07)","(72.9, 1.31)","(67.28, 3.03)"
rcm,"(78.64, 3.21)","(79.66, 2.89)","(85.99, 2.39)","(86.1, 2.22)","(73.61, 1.66)","(73.2, 1.46)","(66.93, 3.57)"
rcm,"(80.52, 1.77)","(81.32, 1.5)","(87.29, 0.93)","(87.28, 0.82)","(73.52, 0.78)","(72.91, 0.52)","(67.77, 3.14)"
rcm,"(81.75, 1.76)","(82.38, 1.56)","(87.46, 1.17)","(87.39, 1.1)","(73.26, 1.26)","(72.5, 1.65)","(68.14, 3.23)"
rcm,"(80.66, 1.71)","(81.33, 1.42)","(86.39, 0.81)","(86.3, 0.74)","(71.69, 0.95)","(70.54, 0.97)","(68.16, 1.22)"
rcm,"(77.9, 3.29)","(78.83, 3.0)","(84.24, 2.79)","(84.23, 2.68)","(69.15, 3.33)","(67.71, 3.61)","(74.03, 2.14)"
rcm,"(70.46, 4.35)","(69.56, 4.11)","(71.22, 3.59)","(69.66, 4.58)","(58.51, 3.28)","(53.67, 3.97)","(54.94, 1.44)"
rcm,"(71.2, 1.56)","(71.15, 1.15)","(73.28, 0.87)","(72.52, 1.26)","(60.53, 0.4)","(55.36, 0.58)","(54.75, 1.47)"
rcm,"(71.73, 2.11)","(71.54, 2.03)","(73.86, 2.07)","(72.96, 2.85)","(61.14, 1.79)","(56.89, 3.33)","(52.85, 1.45)"
rcm,"(77.07, 0.59)","(76.74, 1.15)","(78.4, 1.73)","(77.61, 2.59)","(66.3, 1.49)","(62.2, 3.02)","(49.29, 1.42)"
rcm,"(76.85, 2.49)","(76.99, 2.12)","(78.87, 1.89)","(78.53, 1.9)","(66.61, 1.73)","(63.02, 2.41)","(50.72, 1.75)"
rcm,"(70.55, 2.71)","(69.99, 2.39)","(71.59, 2.22)","(70.3, 3.03)","(59.3, 2.04)","(53.59, 2.89)","(54.61, 1.38)"
rcm,"(80.53, 1.88)","(81.27, 1.64)","(86.61, 0.89)","(86.58, 0.8)","(71.07, 1.5)","(69.67, 2.6)","(69.76, 4.32)"
rcm,"(76.58, 1.59)","(76.47, 1.51)","(78.2, 1.83)","(77.6, 2.35)","(66.13, 1.54)","(62.24, 2.33)","(49.57, 1.85)"
rcm,"(77.16, 2.58)","(76.79, 2.42)","(78.45, 2.37)","(77.62, 2.45)","(65.6, 1.81)","(61.61, 2.75)","(50.45, 1.88)"
rcm,"(73.61, 1.45)","(74.27, 1.51)","(76.19, 1.64)","(76.26, 1.83)","(65.08, 1.55)","(61.31, 2.53)","(50.32, 1.3)"
rcm,"(77.59, 1.24)","(77.19, 0.84)","(78.76, 0.45)","(77.91, 0.65)","(66.61, 0.86)","(61.33, 0.89)","(49.44, 1.03)"
rcm,"(70.15, 2.01)","(70.28, 1.38)","(72.8, 1.44)","(72.18, 1.75)","(59.34, 1.83)","(54.84, 1.82)","(53.86, 0.84)"
rcm,"(82.45, 0.44)","(82.99, 0.39)","(87.52, 0.93)","(87.42, 0.97)","(73.57, 0.74)","(72.71, 1.02)","(70.33, 1.14)"
mlf_dnn,"(80.35, 1.18)","(80.37, 1.09)","(82.06, 1.0)","(81.73, 0.93)","(69.89, 1.04)","(65.91, 2.3)","(275.88, 6.8)"
mlmf,"(80.96, 0.95)","(81.0, 0.57)","(82.22, 0.16)","(81.96, 0.4)","(70.85, 1.5)","(69.54, 1.51)","(258.67, 9.18)"
mlmf,"(80.96, 0.95)","(81.0, 0.57)","(82.22, 0.16)","(81.96, 0.4)","(70.85, 1.5)","(69.54, 1.51)","(258.67, 9.18)"
mlf_dnn,"(78.77, 2.88)","(78.0, 4.09)","(79.23, 4.28)","(78.07, 5.65)","(67.84, 3.95)","(63.21, 5.89)","(205.51, 6.7)"
mlf_dnn,"(80.18, 1.93)","(80.28, 1.86)","(82.27, 1.96)","(82.0, 1.99)","(70.11, 1.84)","(66.17, 3.13)","(189.12, 6.65)"
mlf_dnn,"(77.55, 3.28)","(76.69, 5.06)","(79.17, 5.31)","(77.79, 7.48)","(67.7, 4.72)","(62.46, 6.79)","(116.78, 3.42)"
mlf_dnn,"(78.95, 1.32)","(79.37, 1.23)","(82.01, 1.14)","(81.98, 1.28)","(69.58, 2.39)","(67.4, 2.06)","(133.17, 3.16)"
mlf_dnn,"(76.68, 3.85)","(74.4, 8.85)","(77.68, 6.96)","(74.75, 12.48)","(66.26, 6.08)","(59.27, 10.65)","(248.72, 5.55)"
mlf_dnn,"(78.16, 1.07)","(78.74, 0.95)","(81.29, 1.1)","(81.4, 1.04)","(69.54, 1.14)","(66.37, 2.62)","(292.97, 8.51)"
mlf_dnn,"(80.48, 1.63)","(80.5, 1.52)","(82.01, 1.15)","(81.69, 1.28)","(70.37, 1.74)","(66.74, 3.37)","(348.91, 12.32)"
mlf_dnn,"(80.39, 1.37)","(80.61, 1.16)","(82.47, 0.59)","(82.33, 0.5)","(70.5, 0.58)","(67.09, 2.28)","(3407.82, 68.76)"
rcm,"(52.25, 5.68)","(52.14, 5.55)","(52.89, 4.14)","(52.06, 3.72)","(38.64, 8.35)","(37.2, 7.31)","(177501.7, 86711.32)"
rcm,"(65.65, 0.0)","(52.03, 0.0)","(59.85, 0.0)","(44.81, 0.0)","(51.2, 0.0)","(34.68, 0.0)","(79.12, 0.23)"
rcm,"(54.79, 12.84)","(50.19, 17.52)","(56.01, 10.05)","(50.9, 14.9)","(46.34, 9.68)","(40.02, 12.68)","(1752.64, 1138.05)"
rcm,"(54.84, 13.3)","(51.56, 17.08)","(58.01, 10.7)","(54.63, 14.32)","(46.91, 11.9)","(42.96, 11.67)","(4909.54, 4005.35)"
mlf_dnn,"(80.39, 1.37)","(80.61, 1.16)","(82.47, 0.59)","(82.33, 0.5)","(70.5, 0.58)","(67.09, 2.28)","(3407.82, 68.76)"
mlf_dnn,"(44.6, 20.42)","(31.98, 20.31)","(45.15, 15.78)","(31.58, 14.92)","(34.05, 17.41)","(20.85, 14.53)","(79.56, 3.22)"
rcm,"(79.56, 0.96)","(78.54, 0.87)","(77.49, 0.67)","(76.41, 0.64)","(66.26, 0.64)","(62.58, 1.27)","(63.75, 0.77)"
rcm,"(78.64, 0.94)","(77.25, 1.5)","(76.16, 1.33)","(74.69, 1.98)","(65.3, 1.39)","(61.14, 2.5)","(64.57, 0.95)"
rcm,"(78.03, 1.03)","(76.3, 1.41)","(75.65, 1.27)","(73.8, 1.75)","(64.77, 1.24)","(60.06, 1.97)","(64.74, 0.74)"
rcm,"(78.38, 1.24)","(77.36, 1.35)","(76.21, 1.48)","(75.12, 1.61)","(65.69, 1.36)","(62.31, 1.26)","(64.46, 0.96)"
rcm,"(78.38, 1.24)","(77.36, 1.35)","(76.21, 1.48)","(75.12, 1.61)","(65.69, 1.36)","(62.31, 1.26)","(64.46, 0.96)"
rcm,"(78.38, 1.24)","(77.36, 1.35)","(76.21, 1.48)","(75.12, 1.61)","(65.69, 1.36)","(62.31, 1.26)","(64.46, 0.96)"
rcm,"(78.38, 1.24)","(77.36, 1.35)","(76.21, 1.48)","(75.12, 1.61)","(65.69, 1.36)","(62.31, 1.26)","(64.46, 0.96)"
rcm,"(78.56, 1.37)","(77.61, 1.85)","(76.78, 1.88)","(75.72, 2.42)","(66.17, 1.81)","(62.55, 1.54)","(65.06, 1.5)"
rcm,"(79.17, 0.8)","(77.92, 0.71)","(76.88, 0.66)","(75.56, 0.68)","(66.08, 0.84)","(62.21, 0.65)","(63.48, 0.53)"
rcm,"(79.08, 0.86)","(78.37, 0.75)","(77.9, 0.73)","(77.07, 0.83)","(67.31, 0.77)","(64.1, 0.94)","(62.37, 0.41)"
rcm,"(70.02, 4.08)","(65.64, 7.68)","(66.75, 4.47)","(61.83, 9.38)","(57.11, 3.82)","(48.65, 7.66)","(126.78, 84.26)"
rcm,"(69.28, 3.27)","(63.23, 6.07)","(65.47, 3.48)","(58.67, 7.02)","(56.02, 2.98)","(46.24, 5.72)","(226.64, 130.5)"
rcm,"(61.14, 11.32)","(56.67, 13.69)","(60.61, 9.22)","(55.47, 12.59)","(43.15, 12.63)","(37.46, 11.22)","(3594.17, 4044.79)"
rcm,"(59.08, 10.81)","(49.09, 11.13)","(57.49, 6.91)","(46.62, 9.46)","(33.7, 11.82)","(28.18, 12.02)","(7841.86, 6922.14)"
rcm,"(63.15, 3.84)","(55.04, 2.37)","(59.59, 1.36)","(50.64, 5.43)","(49.02, 4.0)","(39.68, 4.61)","(3448.98, 1323.23)"
rcm,"(63.54, 1.72)","(53.05, 0.83)","(57.55, 1.88)","(46.06, 1.02)","(49.23, 1.61)","(35.77, 0.89)","(120.21, 22.24)"
rcm,"(79.13, 1.42)","(78.08, 1.88)","(77.03, 1.5)","(75.91, 2.0)","(66.52, 1.33)","(63.27, 2.63)","(65.24, 1.28)"
mlf_dnn,"(46.65, 18.57)","(32.62, 19.9)","(47.63, 13.32)","(32.51, 14.3)","(33.87, 17.59)","(19.73, 15.54)","(109.29, 5.68)"
mlf_dnn,"(80.48, 1.63)","(80.5, 1.52)","(82.01, 1.15)","(81.69, 1.28)","(70.37, 1.74)","(66.74, 3.37)","(348.91, 12.32)"
mlf_dnn,"(44.6, 20.42)","(31.98, 20.31)","(45.15, 15.78)","(31.58, 14.92)","(34.05, 17.41)","(20.85, 14.53)","(79.56, 3.22)"
rcm,"(79.13, 1.42)","(78.08, 1.88)","(77.03, 1.5)","(75.91, 2.0)","(66.52, 1.33)","(63.27, 2.63)","(65.24, 1.28)"
mlf_dnn,"(46.65, 18.57)","(32.62, 19.9)","(47.63, 13.32)","(32.51, 14.3)","(33.87, 17.59)","(19.73, 15.54)","(109.29, 5.68)"
rcm,"(66.26, 1.82)","(55.48, 1.1)","(60.53, 0.94)","(47.86, 1.38)","(50.29, 0.85)","(36.67, 2.26)","(60.21, 0.51)"
rcm,"(67.87, 0.22)","(55.01, 0.42)","(61.16, 0.26)","(46.58, 0.49)","(50.42, 0.3)","(34.22, 0.52)","(60.63, 0.78)"
rcm,"(67.61, 0.34)","(54.88, 0.12)","(60.95, 0.21)","(46.47, 0.14)","(50.59, 0.21)","(35.1, 1.55)","(60.42, 1.26)"
rcm,"(67.22, 1.06)","(58.1, 3.09)","(61.75, 0.93)","(51.21, 5.12)","(51.34, 1.44)","(39.34, 6.08)","(59.18, 0.64)"
rcm,"(67.53, 0.55)","(56.81, 2.12)","(61.59, 0.59)","(49.21, 2.91)","(51.16, 0.81)","(36.93, 3.14)","(59.88, 0.38)"
rcm,"(66.08, 2.69)","(56.95, 1.84)","(60.64, 1.02)","(50.02, 3.68)","(50.5, 0.94)","(38.94, 5.23)","(59.39, 0.78)"
rcm,"(64.07, 5.51)","(56.21, 1.29)","(60.11, 2.29)","(50.64, 3.58)","(49.76, 2.08)","(38.66, 3.46)","(59.52, 0.64)"
rcm,"(64.29, 4.27)","(58.16, 2.73)","(60.42, 2.39)","(52.93, 4.88)","(49.93, 1.89)","(40.74, 4.8)","(59.83, 1.06)"
rcm,"(64.64, 4.02)","(56.53, 1.85)","(60.16, 1.66)","(50.47, 4.53)","(49.63, 1.86)","(38.35, 4.96)","(60.77, 0.71)"
rcm,"(66.26, 1.82)","(55.48, 1.1)","(60.53, 0.94)","(47.86, 1.38)","(50.29, 0.85)","(36.67, 2.26)","(60.21, 0.51)"
rcm,"(65.51, 2.98)","(56.33, 1.77)","(60.64, 0.97)","(49.74, 3.99)","(50.77, 0.34)","(38.02, 4.87)","(59.84, 0.79)"
rcm,"(66.26, 1.82)","(55.48, 1.1)","(60.53, 0.94)","(47.86, 1.38)","(50.29, 0.85)","(36.67, 2.26)","(60.21, 0.51)"
rcm,"(66.78, 1.69)","(57.68, 2.95)","(61.75, 0.64)","(51.09, 5.07)","(50.81, 0.32)","(38.17, 4.22)","(59.41, 0.65)"
rcm,"(64.2, 4.99)","(56.35, 1.7)","(60.11, 1.9)","(50.6, 3.62)","(49.76, 1.8)","(38.4, 3.86)","(59.75, 0.39)"
rcm,"(67.57, 0.67)","(55.83, 1.12)","(61.37, 0.33)","(47.88, 1.77)","(50.63, 0.32)","(35.19, 1.46)","(59.65, 0.48)"
rcm,"(67.83, 0.0)","(54.83, 0.0)","(61.11, 0.0)","(46.36, 0.0)","(50.55, 0.0)","(33.94, 0.0)","(62.11, 2.11)"
rcm,"(66.04, 2.28)","(56.61, 2.51)","(61.11, 0.5)","(49.96, 4.63)","(50.68, 0.49)","(37.31, 3.6)","(60.91, 1.96)"
rcm,"(67.74, 0.7)","(55.6, 1.48)","(61.16, 0.92)","(47.36, 1.86)","(50.9, 0.75)","(36.05, 2.04)","(59.93, 0.18)"
rcm,"(65.65, 0.0)","(52.03, 0.0)","(59.85, 0.0)","(44.81, 0.0)","(51.2, 0.0)","(34.68, 0.0)","(79.51, 1.08)"
rcm,"(65.65, 0.0)","(52.11, 0.16)","(59.85, 0.0)","(44.9, 0.18)","(51.2, 0.0)","(34.76, 0.15)","(79.15, 0.77)"
rcm,"(60.48, 9.39)","(53.76, 10.11)","(59.03, 5.37)","(51.67, 8.15)","(35.19, 5.44)","(33.14, 5.93)","(11561.65, 15570.09)"
rcm,"(65.65, 0.0)","(52.03, 0.0)","(59.85, 0.0)","(44.81, 0.0)","(51.2, 0.0)","(34.68, 0.0)","(79.65, 1.52)"
rcm,"(55.1, 14.32)","(46.55, 16.43)","(54.78, 9.81)","(45.92, 12.41)","(44.82, 8.34)","(36.01, 9.78)","(1266.7, 1026.85)"
rcm,"(65.65, 0.0)","(52.03, 0.0)","(59.85, 0.0)","(44.81, 0.0)","(51.2, 0.0)","(34.68, 0.0)","(79.86, 1.6)"
rcm,"(79.96, 0.74)","(78.95, 0.92)","(77.7, 0.89)","(76.65, 1.07)","(67.18, 0.73)","(64.18, 1.06)","(65.21, 0.95)"
rcm,"(71.51, 0.42)","(70.2, 0.37)","(69.82, 0.4)","(68.19, 0.34)","(61.09, 0.26)","(57.27, 0.53)","(69.98, 0.4)"
rcm,"(75.97, 0.55)","(75.05, 0.55)","(74.93, 0.67)","(73.79, 0.71)","(64.33, 0.76)","(60.79, 1.13)","(67.53, 0.8)"
rcm,"(79.08, 1.11)","(78.03, 1.42)","(77.44, 1.19)","(76.27, 1.55)","(66.83, 1.08)","(64.12, 1.15)","(63.31, 0.67)"
rcm,"(78.86, 1.21)","(77.72, 1.62)","(76.78, 1.33)","(75.55, 1.8)","(66.7, 1.07)","(63.71, 1.19)","(63.8, 0.78)"
rcm,"(79.43, 1.46)","(78.29, 1.9)","(77.14, 1.63)","(75.94, 2.11)","(66.74, 1.11)","(63.77, 1.44)","(64.67, 0.97)"
rcm,"(74.44, 0.51)","(73.62, 0.54)","(72.89, 0.63)","(71.87, 0.77)","(63.15, 0.47)","(60.35, 0.67)","(66.7, 0.45)"
rcm,"(79.96, 0.74)","(78.95, 0.92)","(77.7, 0.89)","(76.65, 1.07)","(67.18, 0.73)","(64.18, 1.06)","(65.21, 0.95)"
rcm,"(79.47, 0.51)","(78.7, 0.34)","(77.85, 0.53)","(76.99, 0.43)","(66.34, 0.43)","(64.11, 0.64)","(61.81, 0.94)"
rcm,"(79.47, 0.51)","(78.7, 0.34)","(77.85, 0.53)","(76.99, 0.43)","(66.34, 0.43)","(64.11, 0.64)","(61.81, 0.94)"
rcm,"(65.65, 0.0)","(52.03, 0.0)","(59.85, 0.0)","(44.81, 0.0)","(51.2, 0.0)","(34.68, 0.0)","(79.5, 0.7)"
rcm,"(76.45, 1.04)","(75.57, 0.8)","(73.55, 0.92)","(72.63, 0.76)","(62.98, 1.15)","(58.73, 1.14)","(64.93, 1.63)"
rcm,"(77.02, 0.59)","(76.23, 0.67)","(74.63, 0.68)","(73.76, 0.75)","(64.07, 0.81)","(59.93, 1.9)","(65.54, 1.87)"
rcm,"(66.87, 1.13)","(58.29, 3.08)","(61.64, 0.69)","(51.63, 4.96)","(50.85, 1.06)","(40.28, 5.13)","(58.78, 0.58) LSTM第二层 audio c"
rcm,"(58.2, 3.6)","(58.43, 2.6)","(58.46, 2.02)","(57.67, 1.56)","(49.19, 2.32)","(47.81, 2.38)","(64.01, 2.03)  LSTM第1层 audio c"
rcm,"(63.55, 3.54)","(60.05, 1.77)","(61.43, 2.09)","(56.59, 2.81)","(52.08, 1.89)","(47.05, 2.25)","(64.74, 3.78) 单层LSTM audio c       效果最好"
rcm,"(67.39, 0.62)","(56.52, 2.91)","(61.32, 0.59)","(48.79, 3.79)","(50.81, 0.42)","(36.37, 3.18)","(59.61, 1.1) 单层LSTM audio h"
rcm,"(67.13, 1.1)","(55.6, 1.51)","(60.9, 0.26)","(47.68, 2.53)","(50.63, 0.4)","(36.98, 2.59)","(59.46, 0.32)      单层LSTM audio h Layernorm"
rcm,"(67.0, 0.71)","(56.13, 1.11)","(60.9, 0.31)","(48.35, 1.67)","(50.81, 0.42)","(38.94, 4.14)","(59.49, 0.28)  单层LSTM audio c Layernorm"
rcm,"(65.86, 1.59)","(57.22, 0.65)","(60.95, 0.9)","(50.54, 1.13)","(50.24, 0.79)","(40.7, 1.89)","(60.75, 0.85)     单层LSTM audio c batchnorm"
rcm,"(72.74, 0.66)","(72.54, 0.67)","(75.03, 1.11)","(74.14, 1.63)","(61.58, 0.33)","(57.95, 2.7)","(84.34, 2.79)    文本特征 音频标签"
rcm,"(72.08, 2.14)","(70.89, 1.59)","(70.26, 1.69)","(68.61, 1.34)","(58.16, 1.4)","(51.95, 0.9)","(68.56, 1.18)     视频特征 音频标签"
rcm,"(69.93, 0.74)","(68.37, 0.81)","(68.08, 0.96)","(65.02, 1.58)","(52.74, 0.74)","(43.94, 1.09)","(72.58, 1.13)   视频特征 文本标签"
rcm,"(64.64, 3.63)","(63.67, 1.48)","(61.58, 2.64)","(59.06, 1.41)","(46.3, 1.66)","(41.33, 1.11)","(64.91, 1.74)      音频特征 文本标签"
rcm,"(62.54, 2.87)","(60.06, 2.2)","(60.56, 1.4)","(57.32, 2.97)","(51.6, 2.21)","(48.18, 1.27)","(65.89, 3.31)         音频特征 视频标签"
rcm,"(71.42, 3.09)","(71.97, 2.75)","(76.19, 1.97)","(76.03, 1.85)","(64.11, 1.03)","(61.7, 1.11)","(50.74, 0.71)       文本+音频特征 音频标签 简单参数"
rcm,"(75.54, 0.72)","(75.09, 0.67)","(77.51, 1.17)","(76.51, 1.6)","(64.77, 1.09)","(60.71, 1.2)","(49.85, 0.9)         文本+音频特征 音频标签 复杂参数  效果最好"
rcm,"(80.96, 4.56)","(81.66, 4.07)","(86.84, 2.52)","(86.81, 2.29)","(72.03, 1.62)","(70.48, 2.07)","(56.41, 1.86)      文本+音频特征 文本标签"
rcm,"(77.68, 1.54)","(77.76, 1.21)","(80.05, 0.86)","(79.66, 1.05)","(68.18, 1.74)","(65.21, 1.52)","(51.21, 1.18)      文本+音频特征 多模态标签"
rcm,"(77.77, 1.16)","(77.98, 0.87)","(80.1, 0.74)","(79.86, 0.69)","(68.01, 1.27)","(65.94, 1.3)","(74.42, 1.59)        文本特征 多模态标签"
rcm,"(75.19, 1.24)","(74.67, 0.74)","(73.5, 0.82)","(72.71, 0.43)","(62.45, 0.56)","(56.82, 0.21)","(66.15, 0.5)        视频特征 多模态标签"
rcm,"(77.5, 1.0)","(77.06, 1.37)","(78.84, 1.96)","(77.96, 2.63)","(66.13, 1.84)","(62.32, 2.37)","(49.21, 1.47)        文本+视频特征 音频标签"
rcm,"(72.08, 0.87)","(71.3, 1.59)","(71.92, 1.64)","(70.74, 2.53)","(61.58, 1.73)","(58.1, 2.38)","(49.21, 1.47)        文本+视频特征 视频标签"
rcm,"(80.26, 1.92)","(81.15, 1.69)","(86.95, 1.37)","(87.02, 1.25)","(71.86, 1.16)","(69.99, 1.93)","(55.55, 1.72)      文本+视频特征 文本标签"
rcm,"(78.25, 1.52)","(78.0, 1.01)","(79.38, 0.54)","(78.73, 0.83)","(68.23, 0.72)","(64.27, 1.41)","(51.27, 1.33)       文本+视频特征 多模态标签"
rcm,"(68.01, 1.1)","(66.33, 1.32)","(66.65, 0.94)","(64.44, 2.37)","(57.55, 1.24)","(54.59, 3.47)","(57.51, 1.14)       视频特征+音频 视频标签"
